Symbol,Type,Description
0GB,crypto,Zero1 Token (or 0G Labs)
0G,crypto,0G (Zero Gravity) AI chain token
1000CAT,crypto,1000CAT meme token
1000CHEEMS,crypto,Cheems meme (1000x)
1000SATS,crypto,1000 Satoshis (Ordinals-based)
1INCH,crypto,1inch Network Token
1MBABYDOGE,crypto,1 Million Baby Doge
2Z,crypto,Unknown meme/project
A2Z,crypto,A to Z token
AAVE,crypto,Aave Lending Protocol
ABTC,crypto,Wrapped Bitcoin (alternative)
ACA,crypto,Acala Token
ACE,crypto,Fusionist (ACE)
ACH,crypto,Alchemy Pay
ACM,crypto,AC Milan Fan Token
ACT,crypto,Acet (or Act I The AI Prophecy)
ACX,crypto,Across Protocol
ADA,crypto,Cardano
ADX,crypto,AdEx
AE,crypto,Aeternity
AERGO,crypto,Aergo
AETH,crypto,Ankr Staked ETH
AEUR,crypto,Anchored Euro
AEVO,crypto,Aevo (derivatives DEX)
AF,crypto,Unknown
AGI,crypto,SingularityNET (now AGIX)
AGIX,crypto,SingularityNET
AGLD,crypto,Adventure Gold (Loot)
AI,crypto,Artificial Intelligence token
AIT,crypto,AICHAIN or AI Trader
AIXBT,crypto,AI + Bitcoin index
AKRO,crypto,Akropolis
ALCX,crypto,Alchemix
ALGO,crypto,Algorand
ALICE,crypto,My Neighbor Alice
ALPACAB,crypto,Alpaca Finance
ALPHA,crypto,Alpha Finance
ALPINE,crypto,Alpine F1 Team Fan Token
ALT,crypto,AltLayer
AMB,crypto,Ambrosus
AMP,crypto,Amp
ANC,crypto,Anchor Protocol
ANIME,crypto,Animecoin
ANKR,crypto,Ankr Network
ANT,crypto,Aragon
ANY,crypto,Anyswap
APE,crypto,ApeCoin
API3,crypto,API3
APPC,crypto,AppCoins
APT,crypto,Aptos
ARB,crypto,Arbitrum
ARDR,crypto,Ardor
ARK,crypto,Ark
ARKM,crypto,Arkham
ARPA,crypto,ARPA Chain
ASR,crypto,AS Roma Fan Token
AST,crypto,AirSwap
ASTR,crypto,Astar
ATA,crypto,Automata
ATM,crypto,Atletico Madrid Fan Token
ATOM,crypto,Cosmos
AUCTION,crypto,Bounce Token
AUDIO,crypto,Audius
AUTO,crypto,Auto Farm
AVA,crypto,Travala
AVAX,crypto,Avalanche
AVNT,crypto,Avant
AWE,crypto,Awe Network
AXL,crypto,Axelar
AXS,crypto,Axie Infinity
BABY,crypto,BabySwap or BabyDoge
BADGER,crypto,Badger DAO
BAKE,crypto,BakeryToken
BAL,crypto,Balancer
BANANA,crypto,ApeSwap Banana
BAND,crypto,Band Protocol
BAR,crypto,FC Barcelona Fan Token
BAT,crypto,Basic Attention Token
BEAM,crypto,Beam (privacy)
BEAMX,crypto,BeamX
BEL,crypto,Bella Protocol
BERA,crypto,Berachain
BETA,crypto,Beta Finance
BETH,crypto,Binance Staked ETH
BICO,crypto,Biconomy
BIGTIME,crypto,Big Time
BIO,crypto,Bio Passport
BLUR,crypto,Blur
BLZ,crypto,Bluzelle
BMT,crypto,BMToken
BNB,crypto,Binance Coin
BNSOL,crypto,Binance SOL (wrapped)
BNT,crypto,Bancor
BNX,crypto,BinaryX
BOME,crypto,Book of Meme
BOT,crypto,Starbots
BQXBTC,crypto,BQX (legacy)
BRD,crypto,Bread
BROCCOLI714,crypto,Meme token
BSW,crypto,Biswap
BTC,crypto,Bitcoin
BTG,crypto,Bitcoin Gold
BTS,crypto,BitShares
BTT,crypto,BitTorrent
BTTC,crypto,BitTorrent Chain
BURGER,crypto,BurgerSwap
C98,crypto,Coin98
CAKE,crypto,PancakeSwap
CATI,crypto,Catizen
CDT,crypto,Blox
CELO,crypto,Celo
CELR,crypto,Celer Network
CETUS,crypto,Cetus Protocol
CFX,crypto,Conflux
CGPT,crypto,ChainGPT
CHAT,crypto,Solchat
CHESS,crypto,Tranchess
CHR,crypto,Chromia
CHZ,crypto,Chiliz
CITY,crypto,Manchester City Fan Token
CKB,crypto,Nervos Network
CLOAK,crypto,CloakCoin
CLV,crypto,Clover Finance
CMT,crypto,CyberMiles
CND,crypto,Cindicator
COCOS,crypto,COCOS-BCX
COMBO,crypto,COMBO
COMP,crypto,Compound
COOKIE,crypto,Cookie
COS,crypto,Contentos
COTI,crypto,COTI
COVER,crypto,Cover Protocol
COW,crypto,CoW Swap
CREAM,crypto,Cream Finance
CRV,crypto,Curve DAO
CTK,crypto,CertiK
CTSI,crypto,Cartesi
CTXC,crypto,Cortex
CVC,crypto,Civic
CVP,crypto,PowerPool
CVX,crypto,Convex Finance
CYBER,crypto,CyberConnect
DAR,crypto,Mines of Dalarnia
DASH,crypto,Dash
DATA,crypto,Streamr
DCR,crypto,Decred
DEGO,crypto,Dego Finance
DENT,crypto,Dent
DEXE,crypto,DeXe
DF,crypto,dForce
DGB,crypto,DigiByte
DG,crypto,Decentral Games
DIA,crypto,DIA
DLT,crypto,Agrello
DNT,crypto,district0x
DOCK,crypto,Dock
DODO,crypto,DODO
DOGE,crypto,Dogecoin
DOGS,crypto,DOGS (Telegram)
DOLO,crypto,Dolomite
DOT,crypto,Polkadot
DREP,crypto,Drep
DUSK,crypto,Dusk Network
DYDX,crypto,dYdX
DYM,crypto,Dymension
EASY,crypto,EasyFi
EDEN,crypto,Eden
EDO,crypto,Eidoo
EDU,crypto,Open Campus
EGLD,crypto,MultiversX
EIGEN,crypto,EigenLayer
ELF,crypto,aelf
ENA,crypto,Ethena
ENG,crypto,Enigma
ENJ,crypto,Enjin Coin
ENS,crypto,Ethereum Name Service
EOS,crypto,EOS
EPIC,crypto,Epic Cash
EPS,crypto,Ellipsis
EPX,crypto,Ellipsis X
ERA,crypto,Era Swap
ERD,crypto,Elrond (legacy)
ERN,crypto,Ethernity
ETC,crypto,Ethereum Classic
ETH,crypto,Ethereum
ETHFI,crypto,Ether.fi
EUL,crypto,Euler
EVX,crypto,Everex
EZ,crypto,EasyToken
FARM,crypto,Harvest Finance
FET,crypto,Fetch.ai
FF,crypto,Florence Finance
FIDA,crypto,Bonfida
FIL,crypto,Filecoin
FIS,crypto,StaFi
FLM,crypto,Flamingo
FLOKI,crypto,Floki Inu
FLOW,crypto,Flow
FLUX,crypto,Flux
FOR,crypto,ForTube
FORTH,crypto,Ampleforth Governance
FRONT,crypto,Frontier
FTM,crypto,Fantom
FTT,crypto,FTX Token
FUEL,crypto,Etherparty
FUN,crypto,FunFair
FXS,crypto,Frax Share
GAL,crypto,Galxe
GALA,crypto,Gala
GAS,crypto,Gas (Neo)
GFT,crypto,Game Fantasy Token
GHST,crypto,Aavegotchi
GIGGLE,crypto,Meme token
GLM,crypto,Golem
GLMR,crypto,Moonbeam
GMT,crypto,STEPN
GMX,crypto,GMX
GNO,crypto,Gnosis
GNS,crypto,Gains Network
GNT,crypto,Golem (legacy)
GO,crypto,GoChain
GPS,crypto,GPS Token
GRS,crypto,Groestlcoin
GRT,crypto,The Graph
GTC,crypto,Gitcoin
GTO,crypto,Gifto
GUN,crypto,Gun
GUSDT,crypto,Unknown (likely typo)
GXA,crypto,Galaxia
HAEDAL,crypto,Haedal Protocol
HARD,crypto,KardiaChain
HBAR,crypto,Hedera
HC,crypto,HyperCash
HEGIC,crypto,Hegic
HEI,crypto,Hei Finance
HEMI,crypto,Hemi
HFT,crypto,Hashflow
HIGH,crypto,Highstreet
HIVE,crypto,Hive
HMSTR,crypto,Hamster Kombat
HNT,crypto,Helium
HOLO,crypto,Holo
HOME,crypto,HomeCoin
HOOK,crypto,Hooked Protocol
HOT,crypto,Holochain
HSR,crypto,Hcash (legacy)
HUMA,crypto,Human Protocol
HYPER,crypto,Hyper
ICP,crypto,Internet Computer
ICX,crypto,ICON
IDEX,crypto,IDEX
ID,crypto,Everest
ILV,crypto,Illuvium
IMX,crypto,Immutable X
INIT,crypto,Initia
INJ,crypto,Injective
IO,crypto,io.net
IOST,crypto,IOST
IOTA,crypto,IOTA
IOTX,crypto,IoTeX
IQ,crypto,Everipedia
IRIS,crypto,IRISnet
JASMY,crypto,JasmyCoin
JOE,crypto,Trader Joe
JST,crypto,JUST
JTO,crypto,Jito
JUP,crypto,Jupiter
JUV,crypto,Juventus Fan Token
KAIA,crypto,Kaia (Klaytn fork)
KAITO,crypto,Kaito
KAVA,crypto,Kava
KDA,crypto,Kadena
KEEP,crypto,Keep Network
KERNEL,crypto,Kernel
KEY,crypto,SelfKey
KLAY,crypto,Klaytn
KMD,crypto,Komodo
KMNO,crypto,Kamino Finance
KNC,crypto,Kyber Network
KP3R,crypto,Keep3rV1
KSM,crypto,Kusama
LA,crypto,LATOKEN
LAYER,crypto,LayerAI
LAZIO,crypto,Lazio Fan Token
LDO,crypto,Lido DAO
LEND,crypto,Aave (legacy)
LEVER,crypto,LeverFi
LINA,crypto,Linear
LINEA,crypto,Linea
LINK,crypto,Chainlink
LISTA,crypto,Lista DAO
LIT,crypto,Litentry
LOKA,crypto,League of Kingdoms
LOOM,crypto,Loom Network
LPT,crypto,Livepeer
LQTY,crypto,Liquity
LRC,crypto,Loopring
LSK,crypto,Lisk
LTC,crypto,Litecoin
LTO,crypto,LTO Network
LUMIA,crypto,Lumia
LUNA,crypto,Terra (new)
LUNR,crypto,Lunar
MAGIC,crypto,Magic (Treasure)
MANA,crypto,Decentraland
MANTA,crypto,Manta Network
MASK,crypto,Mask Network
MATIC,crypto,Polygon
MAV,crypto,Maverick Protocol
MBL,crypto,MovieBloc
MBOX,crypto,MOBOX
MC,crypto,Merit Circle
MCO,crypto,Crypto.com (legacy)
MDT,crypto,Measurable Data
ME,crypto,Unknown
MEME,crypto,Memecoin
METIS,crypto,Metis
MFT,crypto,Mainframe
MINA,crypto,Mina
MIRA,crypto,Mirror Protocol
MIR,crypto,Mirror (legacy)
MITH,crypto,Mithril
MITO,crypto,Mito Finance
MKR,crypto,Maker
MLN,crypto,Enzyme
MOB,crypto,MobileCoin
MOD,crypto,Mode Network
MORPHO,crypto,Morpho
MOVE,crypto,Movement
MOVR,crypto,Moonriver
MTH,crypto,Monetha
MTL,crypto,Metal
MUBARAK,crypto,Meme token
MULTI,crypto,Multichain
NANO,crypto,Nano
NAS,crypto,Nebulas
NAV,crypto,Navcoin
NBS,crypto,New BitShares
NBT,crypto,NanoByte
NCASH,crypto,Nucleus Vision
NEAR,crypto,NEAR Protocol
NEBL,crypto,Neblio
NEIRO,crypto,Neiro (doge sister)
NEO,crypto,Neo
NEWT,crypto,Newton
NEXO,crypto,Nexo
NFP,crypto,NFPrompt
NIL,crypto,Nil
NOM,crypto,Nomad
NOT,crypto,Notcoin
NPXS,crypto,Pundi X (legacy)
NTRN,crypto,Neutron
NU,crypto,NuCypher
NULS,crypto,NULS
NUR,crypto,Nurcoin
NXC,crypto,Nexpace
NXS,crypto,Nexus
OAX,crypto,OAX
OCEAN,crypto,Ocean Protocol
OG,crypto,OG Fan Token
OGN,crypto,Origin Protocol
OM,crypto,MANTRA
OMG,crypto,OMG Network
OMNI,crypto,Omni Network
ONDO,crypto,Ondo Finance
ONE,crypto,Harmony
ONG,crypto,Ontology Gas
ONT,crypto,Ontology
OOKI,crypto,Ooki
OP,crypto,Optimism
OPEN,crypto,Open Custody
ORCA,crypto,Orca
ORDI,crypto,Ordinals (ORDI)
ORN,crypto,Orion
OSMO,crypto,Osmosis
OST,crypto,Simple Token
OXT,crypto,Orchid
PARTI,crypto,Particle
PAXG,crypto,PAX Gold
PDA,crypto,PlayDapp
PENDLE,crypto,Pendle
PENGU,crypto,Pudgy Penguins
PEOPLE,crypto,ConstitutionDAO
PEPE,crypto,Pepe
PERL,crypto,Perlin
PERP,crypto,Perpetual Protocol
PHA,crypto,Phala Network
PHB,crypto,Phoenix
PHX,crypto,Phoenix (legacy)
PIVX,crypto,PIVX
PIXEL,crypto,Pixels
PLA,crypto,PlayDapp
PLUME,crypto,Plume Network
PNT,crypto,pNetwork
PNUT,crypto,Peanut the Squirrel
POA,crypto,POA Network
POE,crypto,Po.et
POL,crypto,Polygon Ecosystem Token
POLS,crypto,Polkastarter
POLY,crypto,Polymath
POLYX,crypto,Polymesh
POND,crypto,Marlin
PORTAL,crypto,Portal
PORTO,crypto,FC Porto Fan Token
POWR,crypto,Powerledger
PPT,crypto,Populous
PROM,crypto,Prometeus
PROS,crypto,Prosper
PROVE,crypto,Prove
PSG,crypto,Paris Saint-Germain Fan Token
PUMP,crypto,Pump.fun token
PUNDIX,crypto,Pundi X
PYR,crypto,Vulcan Forged
PYTH,crypto,Pyth Network
QKC,crypto,QuarkChain
QLC,crypto,Qlink
QNT,crypto,Quant
QSP,crypto,Quantstamp
QTUM,crypto,Qtum
QUICK,crypto,QuickSwap
RAD,crypto,Radicle
RAMP,crypto,RAMP
RARE,crypto,SuperRare
RAY,crypto,Raydium
RCN,crypto,Ripio Credit Network
RDN,crypto,Raiden Network
RDNT,crypto,Radiant Capital
RED,crypto,RED Token
REE,crypto,Reef
REI,crypto,REI Network
REN,crypto,Ren
RENDER,crypto,Render
REP,crypto,Augur
REQ,crypto,Request
RESOLV,crypto,Resolv
REZ,crypto,Renzo
RGT,crypto,Rari Governance
RIF,crypto,RIF Token
RLC,crypto,iExec RLC
RNDR,crypto,Render (legacy)
RONIN,crypto,Ronin
ROSE,crypto,Oasis Network
RPL,crypto,Rocket Pool
RPX,crypto,Red Pulse
RSR,crypto,Reserve Rights
RUNE,crypto,THORChain
RVN,crypto,Ravencoin
SAGA,crypto,Saga
SAHARA,crypto,Sahara AI
SALT,crypto,SALT
SAND,crypto,The Sandbox
SANTOS,crypto,Santos FC Fan Token
SCRT,crypto,Secret
SEI,crypto,Sei
SFP,crypto,SafePal
SHELL,crypto,Shell Protocol
SHIB,crypto,Shiba Inu
SIGN,crypto,Signum
SKL,crypto,SKALE
SKY,crypto,Sky
SLF,crypto,Self Chain
SLP,crypto,Smooth Love Potion
SNGLS,crypto,SingularDTV
SNM,crypto,SONM
SNT,crypto,Status
SNX,crypto,Synthetix
SOL,crypto,Solana
SOLV,crypto,Solv Protocol
SOMI,crypto,Somi
SOPH,crypto,SophiaTX
SPARTA,crypto,Spartan Protocol
SPELL,crypto,Spell Token
SPK,crypto,Spark
SRM,crypto,Serum
SSV,crypto,SSV Network
STEEM,crypto,Steem
STG,crypto,Stargate
STMX,crypto,StormX
STORM,crypto,Storm
STPT,crypto,STP Network
STRAT,crypto,Stratis
STRAX,crypto,Stratis (new)
STRK,crypto,Starknet
STX,crypto,Stacks
SUB,crypto,Substratum
SUI,crypto,Sui
SUN,crypto,Sun (TRON)
SUPER,crypto,SuperVerse
SUSHI,crypto,SushiSwap
SXP,crypto,Solar
SXT,crypto,SXT
SYN,crypto,Synapse
SYRUP,crypto,PancakeSwap Syrup
SYS,crypto,Syscoin
TAO,crypto,Bittensor
TBUSD,crypto,Unknown
TCT,crypto,TokenClub
TFUEL,crypto,Theta Fuel
THE,crypto,THETA
TIA,crypto,Celestia
TKO,crypto,Tokocrypto
TLM,crypto,Alien Worlds
TNSR,crypto,Tensor
TNT,crypto,Tierion
TOMO,crypto,TomoChain
TON,crypto,Toncoin
TORN,crypto,Tornado Cash
TOWNS,crypto,Towns
TRB,crypto,Tellor
TREE,crypto,Tree
TRIBE,crypto,Tribe
TRIG,crypto,Triggers
TROY,crypto,TROY
TRU,crypto,TrueFi
TRUMP,crypto,MAGA Trump
TRX,crypto,TRON
TST,crypto,Test Token
TURBO,crypto,Turbo
TURTLE,crypto,Turtle
TVK,crypto,Virtua
TWT,crypto,Trust Wallet Token
UFT,crypto,UniLend
UMA,crypto,UMA
UNFI,crypto,Unifi Protocol
UNI,crypto,Uniswap
USUAL,crypto,Usual
UTK,crypto,Utrust
VANA,crypto,Nirvana
VANRY,crypto,Vanar Chain
VELODROME,crypto,Velodrome
VEN,crypto,VeChain (legacy)
VET,crypto,VeChain
VGX,crypto,Voyager
VIA,crypto,Vias
VIB,crypto,Viberate
VIC,crypto,Viction
VIDT,crypto,VIDT DAO
VIRTUAL,crypto,Virtual Protocol
VITE,crypto,VITE
VOXEL,crypto,Voxies
WAL,crypto,Wallet
WAN,crypto,Wanchain
WAVES,crypto,Waves
WAXP,crypto,WAX
WBETH,crypto,Wrapped Beacon ETH
WBTC,crypto,Wrapped Bitcoin
WCT,crypto,Waves Community
WIF,crypto,dogwifhat
WIN,crypto,WINk
WING,crypto,Wing Finance
WLD,crypto,Worldcoin
WLF,crypto,Wolf
WNXM,crypto,Wrapped NXM
WOO,crypto,WOO Network
WPR,crypto,WePower
WRX,crypto,WazirX
WTC,crypto,Waltonchain
XAI,crypto,Xai
XEC,crypto,eCash
XEM,crypto,NEM
XLM,crypto,Stellar
XMR,crypto,Monero
XNO,crypto,Nano
XPL,crypto,Xpool
XRP,crypto,Ripple
XTZ,crypto,Tezos
XVS,crypto,Venus
XZC,crypto,Zcoin
YGG,crypto,Yield Guild Games
YFI,crypto,yearn.finance
YGG,crypto,Yield Guild Games
ZBT,crypto,Zero Balance Token
ZEC,crypto,Zcash
ZEN,crypto,Horizen
ZIL,crypto,Zilliqa
ZK,crypto,zkSync
ZRO,crypto,LayerZero
ZRX,crypto,0x
USDT,stable,Tether USD
USDC,stable,USD Coin
FDUSD,stable,First Digital USD
BUSD,stable,Binance USD (phased out)
TUSD,stable,TrueUSD
PAX,stable,Pax Dollar
USDP,stable,Pax Dollar (former)
DAI,stable,MakerDAO DAI
USDS,stable,Stably USD
USD1,stable,Binance-pegged USD
USTC,stable,TerraClassicUSD (depegged)
UST,stable,TerraUSD (collapsed)
BFUSD,stable,Binance-pegged Fiat USD (internal)
CUSDC,stable,Compound USD Coin
CUSDT,stable,Compound USDT
AUD,fiat,Australian Dollar
BRL,fiat,Brazilian Real
EUR,fiat,Euro
GBP,fiat,British Pound
JPY,fiat,Japanese Yen
TRY,fiat,Turkish Lira
RUB,fiat,Russian Ruble
UAH,fiat,Ukrainian Hryvnia
NGN,fiat,Nigerian Naira
PLN,fiat,Polish Złoty
ZAR,fiat,South African Rand
BIDR,fiat,Indonesian Rupiah (Tokocrypto)
BKRW,fiat,South Korean Won (legacy)
BVND,fiat,Vietnamese Dong (Binance)
COP,fiat,Colombian Peso
CZK,fiat,Czech Koruna
DAI,stable,"DAI Stablecoin (though often paired as base, it's a stablecoin)"
GYEN,fiat,Japanese Yen-backed stable (GMO)
IDRT,fiat,Indonesian Rupiah Toko Token
MXN,fiat,Mexican Peso
RON,fiat,Romanian Leu
ARS,fiat,Argentine Peso
EURI,fiat,Euro Interest-bearing (Circle)
